asa_NoVuelo,asa_AerolineaICAO,asa_FechaHoraSlot,asa_FechaHoraPosicion2,asa_TipoAvion,asa_Terminal,asa_Posicion,asa_TipoOperacion,slot,posicion2,delay_to_gate,hour_sin,hour_cos,day_sin,day_cos,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24
308.0,IBE,2026-08-03 20:30:00,2026-03-08 20:38:00,A350,T1,25,D,2026-08-03 20:30:00,2026-03-08 20:38:00,8,-0.7933533402912357,0.6087614290087199,0.0,1.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0,32.0,0.0,-42.0,-8.0,38.0
1457.0,AMX,2026-08-03 20:30:00,2026-03-08 20:40:00,E190,T2,80,A,2026-08-03 20:30:00,2026-03-08 20:40:00,10,-0.7933533402912357,0.6087614290087199,0.0,1.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0,32.0,0.0,-42.0,-8.0
1543.0,AMX,2026-08-03 20:30:00,2026-03-08 20:43:00,E190,T2,84,A,2026-08-03 20:30:00,2026-03-08 20:43:00,13,-0.7933533402912357,0.6087614290087199,0.0,1.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0,32.0,0.0,-42.0
70.0,AMX,2026-08-03 20:40:00,2026-03-08 20:44:00,B788,T2,54,D,2026-08-03 20:40:00,2026-03-08 20:44:00,4,-0.7660444431189781,0.6427876096865393,0.0,1.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0,32.0,0.0
108.0,AMX,2026-08-03 20:45:00,2026-03-08 20:44:00,B738,T2,79,D,2026-08-03 20:45:00,2026-03-08 20:44:00,-1,-0.7518398074789772,0.6593458151000691,0.0,1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0,32.0
1419.0,AMX,2026-08-03 20:45:00,2026-03-08 20:57:00,E190,T2,89,A,2026-08-03 20:45:00,2026-03-08 20:57:00,12,-0.7518398074789772,0.6593458151000691,0.0,1.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0,1.0
1640.0,AMX,2026-08-03 20:45:00,2026-03-08 21:00:00,E190,T2,88,D,2026-08-03 20:45:00,2026-03-08 21:00:00,15,-0.7518398074789772,0.6593458151000691,0.0,1.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0,6.0
257.0,AMX,2026-08-03 20:45:00,2026-03-08 20:59:00,B738,T2,48,A,2026-08-03 20:45:00,2026-03-08 20:59:00,14,-0.7518398074789772,0.6593458151000691,0.0,1.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0,6.0
401.0,VOI,2026-08-03 20:45:00,2026-03-08 20:47:00,A321,T1,13,A,2026-08-03 20:45:00,2026-03-08 20:47:00,2,-0.7518398074789772,0.6593458151000691,0.0,1.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0,6.0
430.0,VOI,2026-08-03 20:45:00,2026-03-08 20:46:00,A321,T1,17,D,2026-08-03 20:45:00,2026-03-08 20:46:00,1,-0.7518398074789772,0.6593458151000691,0.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0,-9.0
1566.0,UAL,2026-08-03 20:50:00,2026-03-08 20:38:00,B7M8,T1,31,A,2026-08-03 20:50:00,2026-03-08 20:38:00,-12,-0.7372773368101242,0.6755902076156601,0.0,1.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0,-28.0
756.0,AAL,2026-08-03 20:55:00,2026-03-08 21:20:00,B7M8,T1,29,A,2026-08-03 20:55:00,2026-03-08 21:20:00,25,-0.7223639620597554,0.6915130557822695,0.0,1.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0,42.0
174.0,AFR,2026-08-03 20:55:00,2026-03-08 21:20:00,A350,T1,45,A,2026-08-03 20:55:00,2026-03-08 21:20:00,25,-0.7223639620597554,0.6915130557822695,0.0,1.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0,14.0
258.0,AMX,2026-08-03 20:55:00,2026-03-08 20:59:00,B39M,T2,71,D,2026-08-03 20:55:00,2026-03-08 20:59:00,4,-0.7223639620597554,0.6915130557822695,0.0,1.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0,18.0
1353.0,VIV,2026-08-03 21:00:00,2026-03-08 21:17:00,A321,T1,16,A,2026-08-03 21:00:00,2026-03-08 21:17:00,17,-0.7071067811865477,0.7071067811865474,0.0,1.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0,-2.0
198.0,AMX,2026-08-03 21:00:00,2026-03-08 21:53:00,B738,T2,73,D,2026-08-03 21:00:00,2026-03-08 21:53:00,53,-0.7071067811865477,0.7071067811865474,0.0,1.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0,17.0
1286.0,VIV,2026-08-03 21:00:00,2026-03-08 21:12:00,A321,T1,8,D,2026-08-03 21:00:00,2026-03-08 21:12:00,12,-0.7071067811865477,0.7071067811865474,0.0,1.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0,12.0
183.0,VOI,2026-08-03 21:00:00,2026-03-08 21:27:00,A320,T1,4,A,2026-08-03 21:00:00,2026-03-08 21:27:00,27,-0.7071067811865477,0.7071067811865474,0.0,1.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0,15.0
499.0,DLH,2026-08-03 21:00:00,2026-03-08 21:02:00,B748,T1,26,D,2026-08-03 21:00:00,2026-03-08 21:02:00,2,-0.7071067811865477,0.7071067811865474,0.0,1.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0,14.0
1054.0,AMX,2026-08-03 21:00:00,2026-03-08 21:16:00,E190,T2,74,D,2026-08-03 21:00:00,2026-03-08 21:16:00,16,-0.7071067811865477,0.7071067811865474,0.0,1.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0,-9.0
388.0,AMX,2026-08-03 21:00:00,2026-03-08 21:12:00,B738,T2,86,D,2026-08-03 21:00:00,2026-03-08 21:12:00,12,-0.7071067811865477,0.7071067811865474,0.0,1.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0,52.0
2067.0,AMX,2026-08-03 21:00:00,2026-03-08 21:15:00,E190,T2,87,A,2026-08-03 21:00:00,2026-03-08 21:15:00,15,-0.7071067811865477,0.7071067811865474,0.0,1.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0,67.0
148.0,AMX,2026-08-03 21:00:00,2026-03-08 21:00:00,B39M,T2,77,D,2026-08-03 21:00:00,2026-03-08 21:00:00,0,-0.7071067811865477,0.7071067811865474,0.0,1.0,15.0,12.0,16.0,2.0,27.0,12.0,53.0,17.0,4.0,25.0,25.0,-12.0,1.0,2.0,14.0,15.0,12.0,-1.0,4.0,13.0,10.0,8.0,-8.0,57.0
